;Bubble Sort;Insertion Sort;Merge Sort;Quick Sort
100el;3448μs;414μs;460μs;227μs
200el;5936μs;717μs;920μs;286μs
300el;8845μs;2900μs;433μs;291μs
400el;8134μs;4988μs;461μs;472μs
500el;4241μs;2313μs;608μs;522μs
600el;18804μs;4298μs;805μs;606μs
700el;8249μs;1754μs;815μs;1247μs
800el;10435μs;2001μs;1209μs;1275μs
900el;14947μs;2589μs;1114μs;1136μs
1000el;13987μs;2682μs;1138μs;1257μs
1100el;17294μs;3021μs;1339μs;1835μs
1200el;42824μs;4399μs;740μs;848μs
1300el;24640μs;3771μs;582μs;591μs
1400el;21582μs;3216μs;490μs;530μs
1500el;29280μs;4899μs;709μs;597μs
1600el;29829μs;4459μs;686μs;831μs
1700el;47882μs;5499μs;993μs;819μs
1800el;45151μs;5393μs;1077μs;905μs
1900el;46523μs;6700μs;929μs;695μs
2000el;54502μs;10047μs;936μs;595μs
2100el;74560μs;11999μs;1341μs;1186μs
2200el;80561μs;12965μs;1186μs;972μs
2300el;89276μs;14448μs;1224μs;1009μs
2400el;88484μs;16886μs;1668μs;1130μs
2500el;142070μs;10700μs;843μs;610μs
2600el;78821μs;14010μs;1261μs;1078μs
2700el;85763μs;17024μs;1370μs;1212μs
2800el;200254μs;38888μs;2311μs;2354μs
2900el;270421μs;20413μs;1478μs;1114μs
3000el;123824μs;21216μs;1422μs;1123μs
3100el;136866μs;19493μs;1242μs;781μs
3200el;177073μs;24122μs;1100μs;1146μs
3300el;114696μs;21132μs;2230μs;1428μs
3400el;118406μs;18596μs;1656μs;1651μs
3500el;146467μs;21635μs;1511μs;944μs
3600el;105565μs;16942μs;1059μs;869μs
3700el;110610μs;17968μs;1122μs;952μs
3800el;115614μs;19170μs;1096μs;1063μs
3900el;123197μs;20687μs;1176μs;1012μs
4000el;129503μs;20804μs;1167μs;993μs
4100el;119660μs;21973μs;1209μs;1108μs
4200el;140644μs;22885μs;1293μs;1077μs
4300el;142923μs;24745μs;1328μs;1233μs
4400el;154247μs;25052μs;1376μs;1251μs
4500el;176434μs;26944μs;1355μs;1129μs
4600el;227074μs;27591μs;1383μs;1261μs
4700el;162449μs;39879μs;2790μs;2146μs
4800el;252694μs;31153μs;1490μs;1230μs
4900el;214083μs;31349μs;1471μs;1371μs
5000el;200344μs;32845μs;1545μs;1420μs
5100el;199186μs;36246μs;1586μs;1358μs
5200el;204525μs;35645μs;1611μs;1399μs
5300el;210268μs;36893μs;1768μs;1484μs
5400el;219936μs;38284μs;1859μs;1496μs
5500el;225954μs;41045μs;1713μs;1821μs
5600el;239594μs;42157μs;1802μs;1470μs
5700el;255208μs;44266μs;1845μs;1653μs
5800el;270034μs;48436μs;1905μs;1651μs
5900el;310138μs;60544μs;2942μs;1940μs
6000el;303317μs;47818μs;1935μs;1811μs
6100el;285033μs;49321μs;1924μs;1811μs
6200el;308853μs;50818μs;1999μs;2000μs
6300el;299098μs;52799μs;2017μs;2025μs
6400el;327079μs;54481μs;2073μs;1840μs
6500el;351840μs;59723μs;2083μs;1885μs
6600el;338818μs;57564μs;2131μs;1945μs
6700el;373869μs;59934μs;2136μs;3640μs
6800el;501303μs;61752μs;2185μs;2055μs
6900el;362783μs;62835μs;2191μs;2128μs
7000el;396645μs;64817μs;2237μs;2138μs
7100el;400733μs;66782μs;2396μs;2149μs
7200el;401055μs;69761μs;2423μs;2154μs
7300el;406568μs;71303μs;2492μs;2196μs
7400el;415386μs;98532μs;3070μs;2614μs
7500el;488858μs;76317μs;2442μs;2298μs
7600el;486653μs;76841μs;2428μs;2282μs
7700el;491502μs;78081μs;2502μs;2282μs
7800el;462700μs;81365μs;2512μs;2286μs
7900el;477891μs;82266μs;2628μs;2362μs
8000el;561044μs;84792μs;2738μs;2520μs
8100el;518907μs;87391μs;2626μs;2364μs
8200el;557945μs;91145μs;2640μs;2617μs
8300el;529108μs;92150μs;2688μs;2616μs
8400el;582271μs;93567μs;2872μs;2850μs
8500el;624607μs;95205μs;2771μs;2745μs
8600el;589943μs;98289μs;2939μs;2883μs
8700el;588250μs;99827μs;2851μs;2813μs
8800el;632095μs;105726μs;3021μs;3211μs
8900el;629325μs;123046μs;3959μs;3233μs
9000el;665934μs;106537μs;2977μs;3013μs
9100el;642303μs;117890μs;4801μs;3426μs
9200el;706311μs;112536μs;3019μs;2926μs
9300el;705923μs;138249μs;4246μs;3471μs
9400el;761168μs;118665μs;3166μs;3228μs
9500el;740135μs;120059μs;3153μs;3288μs
9600el;718266μs;122170μs;3176μs;3283μs
9700el;811367μs;127085μs;3258μs;3299μs
9800el;770313μs;127951μs;3287μs;3326μs
9900el;809741μs;131219μs;3388μs;5177μs
10000el;780951μs;131396μs;3423μs;3389μs
