;Bubble Sort;Insertion Sort
100el;3448μs;414μs
200el;5936μs;717μs
300el;8845μs;2900μs
400el;8134μs;4988μs
500el;4241μs;2313μs
600el;18804μs;4298μs
700el;8249μs;1754μs
800el;10435μs;2001μs
900el;14947μs;2589μs
1000el;13987μs;2682μs
1100el;17294μs;3021μs
1200el;42824μs;4399μs
1300el;24640μs;3771μs
1400el;21582μs;3216μs
1500el;29280μs;4899μs
1600el;29829μs;4459μs
1700el;47882μs;5499μs
1800el;45151μs;5393μs
1900el;46523μs;6700μs
2000el;54502μs;10047μs
2100el;74560μs;11999μs
2200el;80561μs;12965μs
2300el;89276μs;14448μs
2400el;88484μs;16886μs
2500el;142070μs;10700μs
2600el;78821μs;14010μs
2700el;85763μs;17024μs
2800el;200254μs;38888μs
2900el;270421μs;20413μs
3000el;123824μs;21216μs
3100el;136866μs;19493μs
3200el;177073μs;24122μs
3300el;114696μs;21132μs
3400el;118406μs;18596μs
3500el;146467μs;21635μs
3600el;105565μs;16942μs
3700el;110610μs;17968μs
3800el;115614μs;19170μs
3900el;123197μs;20687μs
4000el;129503μs;20804μs
4100el;119660μs;21973μs
4200el;140644μs;22885μs
4300el;142923μs;24745μs
4400el;154247μs;25052μs
4500el;176434μs;26944μs
4600el;227074μs;27591μs
4700el;162449μs;39879μs
4800el;252694μs;31153μs
4900el;214083μs;31349μs
5000el;200344μs;32845μs
5100el;199186μs;36246μs
5200el;204525μs;35645μs
5300el;210268μs;36893μs
5400el;219936μs;38284μs
5500el;225954μs;41045μs
5600el;239594μs;42157μs
5700el;255208μs;44266μs
5800el;270034μs;48436μs
5900el;310138μs;60544μs
6000el;303317μs;47818μs
6100el;285033μs;49321μs
6200el;308853μs;50818μs
6300el;299098μs;52799μs
6400el;327079μs;54481μs
6500el;351840μs;59723μs
6600el;338818μs;57564μs
6700el;373869μs;59934μs
6800el;501303μs;61752μs
6900el;362783μs;62835μs
7000el;396645μs;64817μs
7100el;400733μs;66782μs
7200el;401055μs;69761μs
7300el;406568μs;71303μs
7400el;415386μs;98532μs
7500el;488858μs;76317μs
7600el;486653μs;76841μs
7700el;491502μs;78081μs
7800el;462700μs;81365μs
7900el;477891μs;82266μs
8000el;561044μs;84792μs
8100el;518907μs;87391μs
8200el;557945μs;91145μs
8300el;529108μs;92150μs
8400el;582271μs;93567μs
8500el;624607μs;95205μs
8600el;589943μs;98289μs
8700el;588250μs;99827μs
8800el;632095μs;105726μs
8900el;629325μs;123046μs
9000el;665934μs;106537μs
9100el;642303μs;117890μs
9200el;706311μs;112536μs
9300el;705923μs;138249μs
9400el;761168μs;118665μs
9500el;740135μs;120059μs
9600el;718266μs;122170μs
9700el;811367μs;127085μs
9800el;770313μs;127951μs
9900el;809741μs;131219μs
10000el;780951μs;131396μs
