;Quick Sort;Counting Sort
1000lines;2465.0μs;3126.0μs
2000lines;2343.0μs;4034.0μs
3000lines;6053.0μs;5185.0μs
4000lines;3999.0μs;4869.0μs
5000lines;3721.0μs;2425.0μs
6000lines;4393.0μs;2813.0μs
7000lines;5868.0μs;4082.0μs
8000lines;5989.0μs;3836.0μs
9000lines;7837.0μs;3707.0μs
10000lines;8787.0μs;4267.0μs
11000lines;10342.0μs;5136.0μs
12000lines;10268.0μs;3205.0μs
13000lines;9841.0μs;3576.0μs
14000lines;8395.0μs;7477.0μs
15000lines;11698.0μs;5545.0μs
16000lines;7975.0μs;3882.0μs
17000lines;9138.0μs;3871.0μs
18000lines;11922.0μs;3468.0μs
19000lines;12942.0μs;3718.0μs
20000lines;11766.0μs;3194.0μs
